Orthogroup,camp,ecoli,pa,sam,staph,Total
OG0000703,1,1,1,1,1,5
OG0000704,1,1,1,1,1,5
OG0000705,1,1,1,1,1,5
OG0000706,1,1,1,1,1,5
OG0000707,1,1,1,1,1,5
OG0000708,1,0,4,0,0,5
OG0000709,1,1,1,1,1,5
OG0000710,1,1,1,1,1,5
OG0000711,1,1,1,1,1,5
OG0000712,1,1,1,1,1,5
OG0000713,1,1,1,1,1,5
OG0000714,1,1,1,1,1,5
OG0000715,1,1,1,1,1,5
OG0000716,1,1,1,1,1,5
OG0000717,1,1,1,1,1,5
OG0000718,1,1,1,1,1,5
OG0000719,1,1,1,1,1,5
OG0000720,1,1,1,1,1,5
OG0000721,1,1,1,1,1,5
OG0000722,1,1,1,1,1,5
OG0000723,1,1,1,1,1,5
OG0000724,1,1,1,1,1,5
OG0000725,1,1,1,1,1,5
OG0000726,1,1,1,1,1,5
OG0000727,1,1,1,1,1,5
OG0000728,1,1,1,1,1,5
OG0000729,1,1,2,1,0,5
OG0000730,1,1,1,1,1,5
OG0000731,1,1,1,1,1,5
OG0000732,1,1,1,1,1,5
OG0000733,1,1,1,1,1,5
OG0000734,1,1,1,1,1,5
OG0000735,1,1,1,1,1,5
OG0000736,1,1,1,1,1,5
OG0000737,1,1,1,1,1,5
OG0000738,1,1,2,1,0,5
OG0000739,1,1,1,1,1,5
OG0000740,1,0,3,0,1,5
OG0000741,1,1,1,1,1,5
OG0000742,1,1,1,1,1,5
OG0000743,1,1,1,1,1,5
OG0000744,1,1,1,1,1,5
OG0000745,1,1,1,1,1,5
OG0000746,1,1,1,1,1,5
OG0000747,1,1,1,1,1,5
OG0000748,1,1,1,1,1,5
OG0000749,1,1,2,1,0,5
OG0000750,1,1,1,1,1,5
OG0000751,1,1,2,1,0,5
OG0000752,1,1,1,1,1,5
OG0000753,1,1,1,1,1,5
OG0000754,1,1,1,1,1,5
OG0000755,1,1,1,1,1,5
OG0000756,1,1,1,1,1,5
OG0000757,1,1,1,1,1,5
OG0000758,1,1,1,1,1,5
OG0000759,1,1,1,1,1,5
OG0000760,1,1,1,1,1,5
OG0000761,1,1,1,1,1,5
OG0000762,1,1,1,1,1,5
OG0000763,1,1,1,1,1,5
OG0000764,1,1,1,1,1,5
OG0000765,1,1,1,1,1,5
OG0000766,1,1,1,1,1,5
OG0000767,1,1,1,1,1,5
OG0000768,1,1,1,1,1,5
OG0000769,1,1,1,1,1,5
OG0000770,1,1,1,1,1,5
